name,price,disc_price,brand,product_details,ratings,num_ratings
Ultimate Nourishing Rice Overnight Spa Mask (60ml),S$16.50,NaN,COSRX,NaN,4.36 stars,42 reviews
Rich Moist Soothing Serum (80ml),S$30.70,NaN,"DEAR, KLAIRS","Has redness got you down? Keep it all under control with DEAR, KLAIRS Rich Moisture Soothing Serum! This non-sticky, nourishingly hydrating serum gives sensitive skin some TLC, calming irritations while ensuring that it gets the boost of hydration it needs. Best of all, it's a vegan-friendly formula that doesn't test on animals or uses animal-based ingredients, so you can keep both your skin and those furry ones happy too!",4.79 stars,114 reviews
Intensive Triple Care Sunscreen SPF50+ PA++++ (50ml),S$19.20,NaN,INNISFREE,"We know why it’s important to put on sunscreen, but more often than not, we don’t. Keep your complexion protected with Innisfree’s Perfect UV Protection Cream Triple Care, a 3-in-1 sunscreen that's perfect for any occasion. Infused with sunflower oil and Jeju green tea extracts, this sunscreen keeps the skin healthy and moisturized while aiding in controlling sebum production so it'll last all day. It also has an SPF of 50+ and PA+++ to keep the skin protected, while its anti-aging and brightening properties ensure the skin says supple and radiant throughout the day.",4.60 stars,141 reviews
Green Tea Balancing Cream EX (50ml),S$25.40,S$21.60,INNISFREE,"Green tea does more than give you a midday pick-me-up after a heavy lunch, it's fantastic for your skin too! Innisfree's harnessed the goodness of green tea seeds from Jeju island to provide the skin with moisturization and protection from external factors. This lightweight cream has a whipped texture that allows it to absorb quickly into the skin and contains fresh green tea that's rich in amino acids to hydrate the skin from within. It also helps to prevent moisture loss without feeling sticky to keep your skin feeling soft and supple all day.",4.73 stars,123 reviews
Choosy Lip Pack (1 Sheet),S$1.30,NaN,PURE SMILE,NaN,4.32 stars,68 reviews
Green Tangerine Vita C Dark Spot Serum (30ml),S$23.10,NaN,GOODAL,NaN,4.92 stars,40 reviews
Real Fresh Foam Green Tea (160g),S$30,S$19.80,NEOGEN,NaN,4.69 stars,103 reviews
Petal Velvet Sunaway Mini (12ml),S$5,S$3,ALTHEA,"Shield your skin from the sun's rays and give it some petal protection with Althea's Petal Velvet Sunaway! Ultra lightweight, this invisible sunscreen is formulated with Hyaluronic Acid that plumps the skin and Damask rose extracts, ensuring that your complexion stays fresh and hydrated throughout the day without any streakiness or a white cast. It has an SPF of 50+ and PA++++, so your skin'll be kept protected all day. As part of the Petal Velvet line, it also contains micro-powder particles that give you a smooth, petal-like complexion. Note this is the 12ml travel size version.",4.75 stars,20 reviews
Water Bank Moisture Cream EX (50ml),S$60.30,S$47.40,LANEIGE,"Dry skin can be such a pain (literally!), and we thank our lucky stars Laneige's Water Bank Moisture Cream EX is here to save our skins! This rich moisturizer is infused with olive squalene to strengthen the skin's defense barrier, while 6 types of essential minerals and 3 types of vitamins are ionized to penetrate deep into the layers of the skin, making this effective instantly on dry skins. This isn't just about instant gratification: it's moisturising properties hold up a good 24 hours, making sure your skin stays soft and supple all day.",4.79 stars,78 reviews
Waterful Green Bamboo Pads (80ea),S$23,S$11,ALTHEA,What is it? Moisture pads that preps skin with maximum hydration in one step,4.87 stars,178 reviews
Cream Skin Refiner (150ml),S$45.70,S$38.50,LANEIGE,"Quench your thirsty and dehydrated skin with LANEIGE Cream Skin Refiner. It is an effective cream toner rich in moisturizing and hydrating properties extracted from White Tea Leaf Water to improve the skin’s moisture barrier. This product is a result of all the goodness found in a moisturizer melted into toner format. A must-have toner for dry and dehydrated skin types!

Caution: Avoid applying the product to wounded areas.",4.66 stars,86 reviews
Jeju Volcanic Black Head Out Balm (30g),S$6.90,NaN,INNISFREE,"Absolutely can't stand painful peel-off pore packs that pull out blackheads by the root? Innisfree's Jeju Volcanic Black Head Out Balm is here to save you the trouble (and the pain)! Formulated with Jeju volcanic scoria, this balm uses an oil pulling method to extract the impurities and sebum, essentially removing and dissolving them as it melts on your skin. Not only does this product purify your pores, it also moisturises your skin, leaving behind supple, fresh skin that looks and feels clean.",4.33 stars,267 reviews
Water Bank Eye Gel EX (25ml),S$58.70,S$45.30,LANEIGE,"Refreshingly cool, Laneige's Water Bank Eye Gel is infused with nourishing bilberry extracts to keep your eye area hydrated while it reduces puffiness around tired eyes. It also contains calendula and ginkgo leaf extracts to soothe irritations as well as encourage blood circulation, preventing damage to the delicate eye area and reducing dark circles. This baby isn't just about instant improvement, it also retains moisture for 24 hours for supple, revitalized eyes so you look fresh all day.",4.65 stars,248 reviews
Bio Essence Intensive Conditioning (168ml),S$80,S$55.40,IOPE,"We're pretty sure IOPE's Bio Essence Intensive Conditioning is unicorn's tears blessed by a magician (though it doesn't actually say that in the ingredients) because this product claims to improve your complexion in as little as 3 days! Made with an enhanced Bio-redox potion that contains over 60 million bio-enzymes per bottle, this essence optimises skin condition by hydrating, brightening and smoothening it for a radiant, supple complexion. With its lightweight, fast-absorbing formula, it's not hard to see why this product is one of IOPE's best sellers and is vastly popular in Korea.",4.72 stars,156 reviews
Sebum-removing Cotton Swab,S$2.90,NaN,THE SAEM,"Keep those fingers away: there's a new tool in town to remove blackheads and sebum! These innovative swabs from The Saem come with a cotton bud tip on one end, and a sebum remover with a hole on the other. Just gently press onto your nose using the remover, then wipe away whatever gunk that comes out with the other end. You'll be left with smooth, clean skin in a flash!",4.47 stars,70 reviews
Pore Purifying Serum Cleanser (150ml),S$15.50,S$9,ALTHEA,"Combine the powers of a cleanser and serum with Althea's Pore Purifying Serum Cleanser! This beauty superhero whisks away makeup, dirt, and oil with mint extracts while ensuring the skin stays cool and hydrated throughout thanks to a dual moisture cell system that envelopes the skin in a serum-like formula. It prevents the skin from drying out and effectively minimizes enlarged pores, keeping it smooth to the touch. This product also helps to balance the pH levels of the skin to keep it working in tip-top shape! Best of all, it's gentle on the face and suitable even for those of us with sensitive skins.

Designed and made in Korea, with love

With the belief that you deserve the best quality, at affordable prices

Always backed by a 30 day unconditional returns policy",4.62 stars,180 reviews
Dr. Pore Tightening Glacial Clay Facial Mask (100ml)(Renewal),S$21.80,NaN,SKIN&LAB,"Green isn't usually the color you want for your skin, but for Skin & Lab's Glacial Clay Facial Mask, we'll make an exception! Made to declog tired, congested skin, this creamy clay mask contains Canadian glacial clay to control sebum while drawing out impurities from deep within for a fresh, clear complexion. Oatmeal and tea tree extracts help condition and soothe the skin, effectively ridding the skin of redness and troubles. The result? Healthy, clear skin that's soft and smooth to the touch!",4.77 stars,101 reviews
Blanc De Whitening Cream (50ml),S$75.60,S$20.30,CLOUD9,"One of Korea's hottest selling products (more than 10 billion bottles sold to date!), Cloud9's Blanc De Whitening Cream offers instant skin whitening effects that last up to 12 hours! Made with aloe, snow lotus, white ginseng, lily flower, houttuynia cordata, freesia, daisy and edelweiss extracts, this cream effectively reduces melanin in the skin, lightens dark UV spots, reduces redness, diminishes freckles and evens out skin tones with continuous use. This whitening cream also rejuvenates damaged, dull skin, keeping it looking healthy and supple all day. You'll have a brighter, more radiant skin in no time!",4.62 stars,239 reviews
Jeju Volcanic Nose Pack (6 Sheets),S$3.90,NaN,INNISFREE,NaN,4.16 stars,83 reviews
Essential Balancing Emulsion Light (120ml),S$50.60,S$39.90,LANEIGE,"Great for those with oily/combination skin, Laneige's Essential Balancing Emulsion Light is perfect for those looking for a lightweight emulsion that balances out the skin's oil-to-water levels while hydrating the skin. This product is formulated with a range of ingredients like Bio-Dusali, hyacinth extract, Niacinamide and ginger extract which work together to bring you bright, healthy skin. Best of all, this absorbs quickly into the skin without leaving stickiness behind for a fresh, supple complexion.",4.74 stars,211 reviews
Power 10 Formula CO Effector (30ml),S$12.50,NaN,IT'S SKIN,"Just like an espresso shot in the morning, It's Skin's Power 10 Formulas gives your skin a little boost according to your skin's needs. This CO Effector is enriched with plant-sourced phyto collagen that penetrates deep into the layers of the skin, moisturizing the skin from within without leaving any sticky residue behind. Great for dry or aging skin, this concentrate hydrates as well as improve elasticity and firm up the skin, leaving you with a supple, radiant complexion.",4.60 stars,191 reviews
Galactomyces Pure Vitamin C Glow Serum (30ml),S$26.70,NaN,SOME BY MI,"Two is better than one with Some By Mi's Galactomyces Pure Vitamin C Glow Toner! This nourishing toner contains galactomyces ferment to firm up and reduce fine lines, as well as vitamin C to brighten dullness and dark spots. It also has a moisturizing mix of plant based ingredients that adds a radiant glow to the complexion, leaving it bright and bouncy to the touch!",4.72 stars,29 reviews
Centella Green Level Recovery Cream (50ml),S$23.30,NaN,PURITO,NaN,4.88 stars,17 reviews
Rich Moist Soothing Tencel Sheet Mask (25ml),S$4.50,NaN,"DEAR, KLAIRS",NaN,4.64 stars,28 reviews
Ceramide Light Cream (50ml),S$32.70,NaN,MAMONDE,Fresh moisturizing Hibiscus Syriacus cream that achieves moist and strong skin by reinforcing weakened skin barrier.,4.79 stars,58 reviews
Revitalize Sleeping Mask (80ml),S$23.70,NaN,BEAUTY OF JOSEON,"Black beans, ginseng, honey, and orchid ingredients that Joseon women used help create smooth and tight skin by being deeply absorbed into the skin to spread around all of the rich nutrients without stickiness during sleep.",4.61 stars,18 reviews
Rose Water Soothing Gel (300ml),S$14.70,NaN,MAMONDE,NaN,4.85 stars,62 reviews
Oatmeal Therapy Cleansing Foam (150ml),S$7.20,NaN,CALMIA,"Oatmeal runs double duty as both a breakfast and a skincare staple. Known as one of the top 10 healthy foods, oatmeal has fibre and amino acids to keep both your skin and body in tip top shape. This cleanser has mild exfoliation properties suitable for everyday use that keep your skin free from dirt, impurities and dead skin cells. Just squeeze out and lather up into a rich foam to make the most out of your favorite breakfast food!",4.50 stars,258 reviews
Intensive Long Lasting Sunscreen SPF50+ PA++++ (50ml),S$19.20,NaN,INNISFREE,"The sun can really be the skin's biggest enemy, and it's made even worse when your skin is too oily to keep your sunscreen in place! Innisfree's come up with a long-wearing formula that stays through sweat and oil (oily skin types, rejoice!) so your skin doesn't have to lose out on some fun in the sun. This sunscreen is infused with the goodness from sunflower and green tea extracts from Jeju Island to nourish and protect the skin with and SPF of 50, and has a lightweight texture that controls excess sebum production. The best part is it's made without mineral oils, animal products, synthetic fragrances, tar coloring or talc so it won't irritate the skin.",4.73 stars,196 reviews
Cleansing Foam (150ml),S$14.10,NaN,PYUNKANG YUL,NaN,4.92 stars,12 reviews
Pore Corset Serum (30ml),S$29.10,NaN,SKINMISO,"Shrink 'em pores with Skinmiso's Pore Corset Serum! This well-loved serum tightens loose pores up to 34% in as little as 20 minutes, claiming to shrink them long term with continuous usage. It also helps to removes impurities from the pores and balance out the skin's hydration levels, which in turn effectively controls the sebum production of the skin, making this perfect for those of us with oilier complexions. It's no wonder this gem is a favorite of K-beauty enthusiasts all over the world!",4.59 stars,135 reviews
Coco-Me-Up Lifting Coconut Mask (10 Sheets),S$10,S$9,A'BLOOM,"Take a fresh, juicy bite out of beauty with A'bloom's Mask! The Coco-Me-Up version is rich in firming and lifting properties to give you a smooth, plump complexion. Infused with coconut and tremella mushroom extracts, this mask is soaked in an essence full of collagen and vitamin E to firm, smoothen and lift sagginess, leaving you with a youthful glow!",4.88 stars,8 reviews
Water Bank Moisture Essence (70ml),S$65.20,S$50.10,LANEIGE,"Achieve long-lasting suppleness with LANEIGE Water Bank Moisture Essence which helps to increase the moisture level of the skin! Thanks to the green mineral water extracted from vegetables, your skin will appear clear and moisturized upon application. Add this product to your skincare routine to achieve the glass skin effect!",4.89 stars,38 reviews
Rice Water Bright Rice Bran Cleansing Foam (150ml),S$12,NaN,THE FACE SHOP,"You don't need to be gluten-free to embrace rice into your life! Try out The Face Shop's Rice Water Bright Cleansing Foam and you'll be hooked! This product is infused with rice water and Moringa flower oil, which moisturizes, detoxifies and brightens the complexion. Due to its lush creamy texture, this cleansing foam actually helps to keep the skin hydrated by minimizing the moisture lost from cleansing.",4.25 stars,24 reviews
Forest Garden Chamomile Cleansing Oil (200ml),S$17.90,NaN,NATURE REPUBLIC,"While chamomile tea has been known to calm our senses (and taste buds too), it also does a good job at soothing our skin! Nature Republic's Forest Garden Chamomile Cleansing Oil is a convenient all-in-one cleanser that removes heavy makeup as well as dirt and other impurities, leaving your skin clean as a whistle. Infused with jojoba extract, this cleanser doesn't strip your skin of its natural moisture, instead it keeps is moisturised so you're left with a fresh, supple complexion!",4.57 stars,175 reviews
Power 10 Formula VB Effector (30ml),S$12.50,NaN,IT'S SKIN,"Just like an espresso shot in the morning, It's Skin's Power 10 Formulas gives your skin a little boost according to your skin's needs. This VB Effector is enriched with vitamin B6 to brighten dull complexion. This concentrate is infused with arborvitae and schisandra Chinensis extracts, making it loaded with anti-aging and hydrating properties for the skin. Made with an oil-free formulation, this lightweight product balances out the skin's moisture levels by controlling oil and sebum production, and is easily absorbed into the skin without leaving behind any sticky residue.",4.63 stars,182 reviews
Propolis Barrier Ampoule (100ml),S$80,S$18.40,MAXCLINIC,NaN,4.85 stars,33 reviews
Goblin Blackhead 3 Step Nose Pack (1ea),S$1.30,NaN,A'PIEU,"Let the goblins work their magic on your blackheads with this 3-step nose pack! This kit is formulated with BHA, blackjack and witch hazel extracts to open up the pores, pull out those blackheads, then minimizing them for a smooth, clean nose area. Say goodbye to oily, unsightly noses because you'll be left with skin that's fresh, smooth and happy!",4.86 stars,7 reviews
Super Volcanic Peel Off Mask 2X (100ml),S$13.90,NaN,INNISFREE,NaN,4.43 stars,30 reviews
Advanced Snail 92 All In One Cream (100ml),S$20.60,NaN,COSRX,"Snail mucin extract is so good for the skin! It moisturizes, soothes and repairs damaged skin for a healthy complexion. COSRX's Advanced Snail 92 All In One Cream contains 92% snail mucin extract to treat dryness, redness and prevent premature aging. This luxurious cream absorbs into the skin without any greasiness for a fresh feel. It also contains allantoin and hyaluronic acid to create this winning formula that's a great addition to your skincare routine.",4.49 stars,81 reviews
Bio-Peel Gauze Peeling Wine (30ea),S$36.50,S$29.70,NEOGEN,NaN,4.74 stars,66 reviews
Dynasty Cream (60g),S$24.50,NaN,BEAUTY OF JOSEON,NaN,4.61 stars,31 reviews
Moist Cream Cleanser (150ml),S$28.60,NaN,LANEIGE,"Facial cleansers can make those of us with dry skin cringe just at the thought of stripping away any oil we have left! Luckily for us, Laneige's Moist Cream Cleanser is here to SOS (save our skins!). Formulated with 14.9% natural oils, this cleanser not only removes dirt, but also replenishes moisture to your complexion and keep it there for a long time. It lathers up into fine bubbles that leave the skin feeling silky smooth after washing without any tightness, prepping your complexion to take on any skincare products after.",4.54 stars,141 reviews
Jeju Volcanic Pore Clay Mask (100ml),S$16.30,NaN,INNISFREE,"Oily or combination skin, rejoice! Clay has long been known for its cleansing properties and as an effective sebum controller. The Jeju Volcanic Pore Clay Mask functions in 3 ways: removes sebum, brightens your skin tone, and cares for troubled spots. Rich in Jeju volcanic scoria, the masks goes deep into pores and get rid of impurities while absorbing excess sebum to revive your skin's natural moisture balance. The result is skin that is visibly improved, and one that feels softer and smoother, for easier makeup application.",4.78 stars,378 reviews
Green Tea Balancing Skin EX (200ml),S$26.10,S$23,INNISFREE,"Here's a fun fact for you: skin can be oily while being severely dehydrated if not taken care of properly. Innisfree's Green Tea Balancing Skin is formulated with green tea and green tea seeds from Jeju Island. This toner removes dead skin cells and impurities, yet ensures that your skin stays moisturised and hydrated. Additional ingredients such as betaine from amino acids as well as other minerals give your skin that extra boost of moisture, and balances out the natural oil-to-water balance of the skin. Our favourite part of this product is its water-like texture that absorbs instantly into your skin without leaving it feeling sticky, making it soft and supple.",4.67 stars,258 reviews
Starting Treatment Eye Cream (30g),S$13,NaN,SECRET KEY,NaN,4.69 stars,16 reviews
Water Bank Hydro Essence (70ml),S$65.20,S$50,LANEIGE,"Just like a cool, tall glass of water, LANEIGE Water Bank Hydro Essence is a lightweight concentrate infused with green mineral water and garden cress extract to deeply moisturize from within without leaving any stickiness behind. This concentrate isn't just good for instant gratification, its moisturizing properties last for long hours, giving you soft, supple skin that lasts. No wonder this range is one of Laneige's best sellers and is a huge hit with beauty lovers everywhere!",4.82 stars,49 reviews
Acne Toner (150ml),S$15.60,NaN,PYUNKANG YUL,NaN,4.70 stars,30 reviews
Yogurt Peeling (100ml),S$13.50,NaN,ONSAEMEEIN,"Yogurt isn't just a breakfast food, it's fantastic to exfoliate the skin too. Whisking away dead cells helps to renew skin cell turnover, evening out the skin's natural texture and minimizes enlarged pores. Picking a gentle enzyme-based one like Onsaemeein's Yogurt Peeling helps to gently peel away flaky skin without the irritations abrasive scrubs can sometimes have. This product also helps to keep the skin hydrated, so you'll be left with smooth, supple skin, perfect for any time of the day.",4.52 stars,212 reviews
The True Cream - Aqua bomb (50ml),S$54.10,NaN,BELIF,"A cult favorite in the Korean beauty scene, this is a super lightweight oil-free cream-gel that 'bursts' and refreshes the skin while providing it with rich hydration. Formulated with lady's mantle that's rich in antioxidants, this moisturizer helps to neutralize skin-damaging free radicals while improving skin's elasticity and minimizing pores. This weightless formula absorbs into the skin quickly and completely, keeping your skin soft and supple without leaving behind any sticky residue. The best part about this? It's formulated without any mineral oils, synthetic fragrances, dyes, preservatives or animal origin ingredients, making this suitable even for those of us with sensitive skins.",4.74 stars,128 reviews
Eye Sleeping Mask (25ml),S$40,NaN,LANEIGE,"Pamper one of the most delicate areas of the face with this sleeping mask made specifically for the eye area. It helps to brighten those panda eyes, and caffeine helps to depuff them too, so you can wake up looking as fresh as you feel. This lightweight mask also comes with a specially made ceramic ball to really massage in the product, improving circulation and reducing swelling so you'll look bright and perky all day.",4.59 stars,34 reviews
Perfect Renew Eye Cream (20ml),S$57.30,NaN,LANEIGE,"Address puffiness, droopiness and darkness head-on with Laneige's Perfect Renew Firming Eye Cream. This lush cream penetrates deep into the layers of the skin, restoring suppleness and moisture to the delicate eye area. It also helps to brighten dark circles, plump up fine lines and strengthen the skin. The result? Bright, perky eyes with a youthful spark!",4.68 stars,50 reviews
Berry-Me-Baby Anti-aging Blueberry Mask (1 Sheet),S$1,NaN,A'BLOOM,"Take a fresh, juicy bite out of beauty with A'bloom's Mask! The Berry-Me-Baby version is rich in anti-aging properties to give you a bright, youthful complexion. Infused with blueberry and pomegranate extracts, this mask is soaked in an essence full of antioxidants to help repair, even out and add a radiant glow, leaving your face feeling plump, luminous and happy!",5.00 stars,16 reviews
Mogongtox Soda Bubble (1 Sheet),S$2.10,NaN,MEDIHEAL,NaN,4.50 stars,2 reviews
Ultimate Moisturizing Honey Overnight Mask (60ml),S$18.90,NaN,COSRX,NaN,4.68 stars,25 reviews
Green Tea Sleeping Mask (80ml),S$19.90,NaN,INNISFREE,"Just like a pick-me-up cuppa in the middle of the day, Innisfree's Green Tea Sleeping Mask is a refreshing and antioxidant-packed overnight mask for your skin! It contains fresh organic green tea extracts hailing from Jeju Island and is sold no more than 3 months from its manufactured date to ensure that your skin is smooth and served only the freshest ingredients. Wake up to soft, supple skin as this mask works while you sleep to hydrate it without leaving behind any sticky residue on your pillow!",4.73 stars,187 reviews
Jeju Cherry Blossom Jelly Cream (50ml),S$25.10,NaN,INNISFREE,NaN,4.78 stars,27 reviews
Clear Spot Patch (18ea),S$4.20,NaN,NACIFIC,NaN,4.85 stars,26 reviews
Soft Airy UV Essence (80ml),S$30.90,NaN,"DEAR, KLAIRS","Protecting your skin from the harmful UV rays does not have to be an extreme sport, especially with DEAR, KLAIRS Soft Airy UV Essence. It is a lightweight water-based sunscreen that does not give off a white cast so you can avoid looking ghostly white in flash photography! Friendly to all skin types, this product contains high SPF and PA to protect your skin from UVA/UVB rays without making your skin oily. It also contains hydrating and brightening properties - thanks to Glycerin and Niacinamide!",4.76 stars,74 reviews
BlackHead Clear 3-Step Nose Pack (6.2g),S$2.30,NaN,NATURE REPUBLIC,"For days that we want our skin to be blackhead free, we turn to Nature Republic's BlackHead Clear 3-Step Nose Pack for a little help. This 3-step system is specifically tailored for your nose to easily extract out the nasties, leaving you with clean, smooth skin. Formulated with Amazon white clay to melt away impurities from the pores, this trio comes with a serum to open up the pores, a peel off mask to extract blackheads and a concentrate to close and soothe the skin. Clear, supple skin is as easy as 1, 2, 3!",4.46 stars,82 reviews
The True Cream - Aqua Bomb (10ml),S$6.50,NaN,BELIF,NaN,5.00 stars,3 reviews
Truecica Mineral 100 Calming Suncream (50ml),S$21.10,NaN,SOME BY MI,NaN,4.88 stars,8 reviews
Fixer Cream (50g),S$20,S$12.50,ALTHEA,"Great makeup starts from great skin - minimize your base make-up with Althea Bare Essentials! With nourishing ingredients and easy execution, this 3-product regime breaks down and simplifies the K-beauty routine for the urban woman. Step 3 is the Fixer Cream. powerful moisturizing properties are packed into this little jar that provides the skin with hydration for up to 24 hours for a fresh, revitalized complexion. Use together with the Contour Cleanser and Primer Water for best results! Don't just cover up - complete your makeup with your skin.",4.66 stars,154 reviews
Coco-Me-Up Lifting Coconut Mask (10 Sheets),S$10,S$9,A'BLOOM,"Take a fresh, juicy bite out of beauty with A'bloom's Mask! The Coco-Me-Up version is rich in firming and lifting properties to give you a smooth, plump complexion. Infused with coconut and tremella mushroom extracts, this mask is soaked in an essence full of collagen and vitamin E to firm, smoothen and lift sagginess, leaving you with a youthful glow!",4.88 stars,8 reviews
Propolis Barrier Ampoule (100ml),S$80,S$18.40,MAXCLINIC,NaN,4.85 stars,33 reviews
Water Bank Moisture Essence (70ml),S$65.20,S$50.10,LANEIGE,"Achieve long-lasting suppleness with LANEIGE Water Bank Moisture Essence which helps to increase the moisture level of the skin! Thanks to the green mineral water extracted from vegetables, your skin will appear clear and moisturized upon application. Add this product to your skincare routine to achieve the glass skin effect!",4.89 stars,38 reviews
Goblin Blackhead 3 Step Nose Pack (1ea),S$1.30,NaN,A'PIEU,"Let the goblins work their magic on your blackheads with this 3-step nose pack! This kit is formulated with BHA, blackjack and witch hazel extracts to open up the pores, pull out those blackheads, then minimizing them for a smooth, clean nose area. Say goodbye to oily, unsightly noses because you'll be left with skin that's fresh, smooth and happy!",4.86 stars,7 reviews
Super Volcanic Peel Off Mask 2X (100ml),S$13.90,NaN,INNISFREE,NaN,4.43 stars,30 reviews
Forest Garden Chamomile Cleansing Oil (200ml),S$17.90,NaN,NATURE REPUBLIC,"While chamomile tea has been known to calm our senses (and taste buds too), it also does a good job at soothing our skin! Nature Republic's Forest Garden Chamomile Cleansing Oil is a convenient all-in-one cleanser that removes heavy makeup as well as dirt and other impurities, leaving your skin clean as a whistle. Infused with jojoba extract, this cleanser doesn't strip your skin of its natural moisture, instead it keeps is moisturised so you're left with a fresh, supple complexion!",4.57 stars,175 reviews
Power 10 Formula VB Effector (30ml),S$12.50,NaN,IT'S SKIN,"Just like an espresso shot in the morning, It's Skin's Power 10 Formulas gives your skin a little boost according to your skin's needs. This VB Effector is enriched with vitamin B6 to brighten dull complexion. This concentrate is infused with arborvitae and schisandra Chinensis extracts, making it loaded with anti-aging and hydrating properties for the skin. Made with an oil-free formulation, this lightweight product balances out the skin's moisture levels by controlling oil and sebum production, and is easily absorbed into the skin without leaving behind any sticky residue.",4.63 stars,182 reviews
Rice Water Bright Rice Bran Cleansing Foam (150ml),S$12,NaN,THE FACE SHOP,"You don't need to be gluten-free to embrace rice into your life! Try out The Face Shop's Rice Water Bright Cleansing Foam and you'll be hooked! This product is infused with rice water and Moringa flower oil, which moisturizes, detoxifies and brightens the complexion. Due to its lush creamy texture, this cleansing foam actually helps to keep the skin hydrated by minimizing the moisture lost from cleansing.",4.25 stars,24 reviews
All Kill Blackhead Remover Stick (10g),S$11.30,NaN,RIRE,"Are you as done with blackheads as we are? Here's our secret weapon: Rire's All Kill Blackhead Remover Stick! This specially formulated balm-to-foam scrub hybrid effectively exfoliates and whisks away impurities like dirt, sebum and dead skin cells for some seriously smooth skin. It's also made with nourishing ingredients so you won't have to worry about it drying the skin out. Clean, even skin, here we come!",4.38 stars,104 reviews
24K Gold Wrapping Mask (80ml),S$23.80,NaN,PIOLANG,"Give your skin the royal treatment with this peel off pack from Piolang! This gorgeous mask contains 99% pure gold to exfoliate dead skin cells, brighten and improve the elasticity of the skin, giving you a youthful glow worthy of a princess. It's also made with moisturizing ingredients that prevent flakey dry skin, so you'll be left with supple, smooth skin. Ready to go for gold? We sure are!",4.44 stars,270 reviews
Petal Velvet Set (10% OFF),S$28.50,S$12.60,ALTHEA,NaN,4.66 stars,501 reviews
All Around Safe Block Sun Milk Essence (70ml),S$21.70,S$18.40,MISSHA,NaN,5.00 stars,10 reviews
Jeju Volcanic Pore Toner 2X (200ml),S$22.90,NaN,INNISFREE,"Declogging your pores has never been so easy! INNISFREE Jeju Volcanic Pore Toner 2X is infused with Jeju Pine Spear extract for twice the sebum-controlling powers while still keeping the skin soft and hydrated. It also has volcanic ash extract to draw out impurities from the pores, removing dead skin cells and impurities while simultaneously ensures that you stay shine-free. Lightweight and easily absorbed into the skin, this is especially great for those of us with oily complexions to keep the greasiness at bay!",4.79 stars,53 reviews
Acne Cream (50ml),S$18.10,NaN,PYUNKANG YUL,NaN,4.39 stars,18 reviews
Bija Trouble Skin (200ml),S$21.80,NaN,INNISFREE,"Ow! Painful spots? The Bija Trouble skin is a facial toner that may just be what you're looking for. Made with a non-comedogenic formula infused with natural salicylic acid, this is perfect for those with stubborn acne spots and oily complexions. Not only does this soothe and reduce redness and swelling, it also contains Jeju Bija Oil that has anti-aging properties. This product effectively removes impurities and residue from your pores while regulating the skin's oil and sebum production. It preps your skin for your skincare regime, keeps it fresh all day, and gives you a complexion that's healthier, clearer and brighter! Pair this with the Bija Trouble Lotion for best results.",4.77 stars,134 reviews
Jeju Orchid Enriched Cream (50ml),S$30.80,NaN,INNISFREE,"Banish those dry patches with Innisfree's Orchid Enriched Cream! This thick, luscious cream is made with orchid extract hailing from the rich volcanic soil of Jeju island, making them packed with antioxidants and moisturizing properties. Best for dry skin, this cream penetrates deep into the layers of the skin to plump it up, reducing the appearance of wrinkles and leaving it smoother, brighter and healthier.",4.75 stars,85 reviews
Jeju Volcanic Color Clay Mask (70ml),S$11.10,NaN,INNISFREE,"Multi-masking is made easy with Innisfree's Jeju Volcanic Color Clay Masks! These pastel-hued creamy packs are packed (no pun intended) with nutrients from Jeju's volcanic ash extract, controlling sebum for a fresh complexion. The different colours target different skin needs: Blue contains hyaluronic acid to moisturize the skin; Yellow is formulated with vitamin C derivatives to brighten dullness; Purple has panthenol to soothe redness. Choose to use one all over the face, or apply them onto different parts of the face to spot treat them!",4.70 stars,218 reviews
Apricot Peeling Gel (120ml),S$11.10,NaN,BEAUTY OF JOSEON,NaN,5.00 stars,3 reviews
Soothing Sisters Set,S$58,S$25.20,ALTHEA,"Serenity, calmness and peace for the skin comes in Althea's Soothing Sisters trio. Clarify the complexion with the Real Fresh Skin Detoxer in Green Tea that's infused with real tea leaves to cleanse, nourish and gently exfoliate the skin. Follow up with the Waterful Green Bamboo Pads, gentle Tencel sheets soaked in a hydrating formula that helps calm irritations to tone and prep the skin. Finally, seal in the moisture with the Skin Relief Calming Cream, a repairing cream made with panthenol that banishes redness and strengthens the barrier of the skin. Join the soothing sisterhood today!",4.76 stars,25 reviews
Clean it Zero Cleansing Balm (100ml)_Purifying,S$25.90,NaN,BANILA CO,"We know how difficult and tedious makeup removal is; it can sometimes feel like a war that stubborn waterproof products are winning. Banila Co.'s Clean It Zero Cleansing Balm is our secret weapon to clean, fresh skin! This silky balm melts away dirt, residue, and long-wearing makeup, emulsifying with water into a milk-colored solution that washes everything down the drain. Sensitive skins, rejoice! The Purifying version is made with gentle, skin soothing ingredients for an easy clean. A definite must-have in your stash that'll keep your skin looking radiant and feeling supple.",4.87 stars,23 reviews
Supple Preparation Unscented Facial Toner (180ml),S$30.70,NaN,"DEAR, KLAIRS",NaN,4.67 stars,55 reviews
Power 10 Formula VC Effector Super Size (60ml),S$20.30,NaN,IT'S SKIN,NaN,4.84 stars,123 reviews
Egg White Pore Mask (125g),S$13.10,NaN,SKINFOOD,NaN,4.82 stars,17 reviews
Starting Treatment Essence Rose Edition (150ml),S$33.50,NaN,SECRET KEY,NaN,4.91 stars,22 reviews
