name,price,disc_price,brand,product_details,ratings
Power 10 Formula WH Effector (30ml),RM38,NaN,IT'S SKIN,"Just like an espresso shot in the morning, It's Skin's Power 10 Formulas gives your skin a little boost according to your skin's needs. This WH Effector is enriched with an array of whitening agents including arbutin suppresses the skin's production of melanin and minimize damage caused by the sun. Great for those with dark spots or scars, this product brightens and lightens the skin for a fair complexion. This lightweight, fast absorbing concentrate applies on without leaving behind any sticky residue while instantly hydrating the skin for a supple, radiant complexion.",4.63 stars
Rich Moist Soothing Serum (80ml),RM93,NaN,"DEAR, KLAIRS","Has redness got you down? Keep it all under control with DEAR, KLAIRS Rich Moisture Soothing Serum! This non-sticky, nourishingly hydrating serum gives sensitive skin some TLC, calming irritations while ensuring that it gets the boost of hydration it needs. Best of all, it's a vegan-friendly formula that doesn't test on animals or uses animal-based ingredients, so you can keep both your skin and those furry ones happy too!",4.79 stars
Dermask Water Jet Vital Hydra Solution (1 Sheet),RM13,NaN,DR.JART+,NaN,4.17 stars
Intensive Long Lasting Sunscreen SPF50+ PA++++ (50ml),RM58,NaN,INNISFREE,"The sun can really be the skin's biggest enemy, and it's made even worse when your skin is too oily to keep your sunscreen in place! Innisfree's come up with a long-wearing formula that stays through sweat and oil (oily skin types, rejoice!) so your skin doesn't have to lose out on some fun in the sun. This sunscreen is infused with the goodness from sunflower and green tea extracts from Jeju Island to nourish and protect the skin with and SPF of 50, and has a lightweight texture that controls excess sebum production. The best part is it's made without mineral oils, animal products, synthetic fragrances, tar coloring or talc so it won't irritate the skin.",4.73 stars
Supple Preparation Facial Toner (180ml),RM76,NaN,"DEAR, KLAIRS","Hydration is the key to great skin, so give your skin the right prep to take it all on with Dear, Klairs' Supple Preparation Facial Toner. Made to balance out the skin's pH levels, this moisturizing toner gives the skin a boost of hydration while transforming your complexion into the perfect canvas for your favorite skin care products to work their magic. It also contains nourishing ingredients that help prevent dehydration and irritations from flaring up, making it a must-have in our beauty stash.",4.82 stars
Perfect Outdoor Sun Block (50ml),RM22,NaN,CALMIA,"Going out and about under the sun? Then we've got the perfect sunblock for you, literally! Calmia's Perfect Outdoor Sun Block has an SPF of 50+, PA+++ to keep UVA and UVB rays at bay, while ingredients like green tea, Centella Asiatica, and licorice root extract soothe the skin. It's moisturizing, lightweight texture leaves the skin feeling hydrated and fresh. Best of all, it's waterproof so you won't have to worry about the waves rinsing your protection away!",4.40 stars
Rice Water Bright Cleansing Foam (150ml),RM32,NaN,THE FACE SHOP,"You don't need to be gluten-free to embrace rice into your life! Try out The Face Shop's Rice Water Bright Cleansing Foam and you'll be hooked! This product is infused with rice water and Moringa flower oil, which moisturizes, detoxifies and brightens the complexion. Due to its lush creamy texture, this cleansing foam actually helps to keep the skin hydrated by minimizing the moisture lost from cleansing.",4.63 stars
Repair Serum : Ginseng + Snail Mucin (30ml),RM67,RM49,BEAUTY OF JOSEON,NaN,4.83 stars
Petal Velvet Set (10% OFF),RM83,RM38.70,ALTHEA,NaN,4.66 stars
Dermask Water Jet Soothing Hydra Solution (1 Sheet),RM13,NaN,DR.JART+,NaN,4.82 stars
Sunprise Natural Corrector SPF 50+/PA+++ (50g),RM35,NaN,ETUDE HOUSE,"While most sunscreens block harmful UV rays from penetrating into the deeper layers of your skin, the Sunprise Natural Corrector SPF 50+ PA++ focuses on stimulating cell renewal, reducing wrinkles, whitening and softening your skin with niacinamide and adenosine. Other ingredients like mangosteen peel extract guards your skin against toxic substances found in the environment while acai berry, acerola and aloe vera keep your skin soothed and moisturized. Of course, its SPF50+ formulation ensures that your skin is protected against UV rays when exposed to the sun.",4.45 stars
Forest Garden Chamomile Cleansing Oil (200ml),RM46,NaN,NATURE REPUBLIC,"While chamomile tea has been known to calm our senses (and taste buds too), it also does a good job at soothing our skin! Nature Republic's Forest Garden Chamomile Cleansing Oil is a convenient all-in-one cleanser that removes heavy makeup as well as dirt and other impurities, leaving your skin clean as a whistle. Infused with jojoba extract, this cleanser doesn't strip your skin of its natural moisture, instead it keeps is moisturised so you're left with a fresh, supple complexion!",4.57 stars
Capsule Recipe Pack (10ml),RM8,NaN,INNISFREE,NaN,4.60 stars
Egg White Pore Mask (125g),RM32,NaN,SKINFOOD,NaN,4.82 stars
Oatmeal Therapy Cleansing Tissue (20pcs),RM11,NaN,CALMIA,"Nothing beats the refreshing feeling of removing every last trace of makeup at the end of the day. Calmia's Oatmeal Therapy Cleansing Tissues are a must-have, especially for those of us who are always on-the-go. Say bye-bye to dirt, impurities and even waterproof makeup (mascara, we're looking at you!) without drying out the skin. Aside from oatmeal, it's also got a mix of other plant extracts like mung bean, aloe and papaya to keep the skin supple and moisturized.",4.71 stars
Rose Quartz Face Roller,RM176,RM116,JARDIN,"Treat your skin right with the luxury it deserves! JARDIN Rose Quartz Face Roller is a dual-ended face massager that's made from 100% natural Brazilian gemstone. It helps to improve blood circulation, encouraging collagen synthesis while simultaneously soothing the skin with a cool sensation. Use with your favorite skincare product, and your complexion will be left feeling plump, relaxed and smooth.",4.81 stars
Bubi Bubi Lip Scrub (12ml),RM34,NaN,UNPA,"Scrub a dub-dub, join the smooth lip club! Unpa's best selling item to date, this is the product that has really put them on beauty lovers' maps. Made with natural, fruit-based ingredients, this gentle bubbly lip scrub uses a chemical peel that works to remove residue and gently whisk away flaky dead skin on the lips for a soft, kissable pout. It also creates a smooth clean canvas for lipstick to stick to, giving you a perfect application every time.",4.71 stars
Beauty Suction (Blackhead Extractor),RM144,RM121,FACE FACTORY,"Removing blackheads can be really satisfying, but trust us when we say it’s never been as easy as it is with the Beauty Suction! This innovative device is equipped with strong suction power and 4 interchangeable heads to help to suck away impurities, sebum and dirt right out of your pores, leaving you with skin that’s clean, smooth and flawless. Keep this handy to keep white and blackheads at bay!",4.37 stars
The Professional Ice Calming Cooler,RM33,NaN,ARITAUM,"Be the coolest this summer with Aritaum’s Professional Ice Calming Cooler! Store this in the fridge before use to calm redness, soothe irritations and cool heated skin. Use with your favorite soothing gel to massage the face in gentle circular motions to relieve swelling and improve circulation as well. Keep your skin in tip-top shape!",4.52 stars
Power 10 Formula CO Effector (30ml),RM38,NaN,IT'S SKIN,"Just like an espresso shot in the morning, It's Skin's Power 10 Formulas gives your skin a little boost according to your skin's needs. This CO Effector is enriched with plant-sourced phyto collagen that penetrates deep into the layers of the skin, moisturizing the skin from within without leaving any sticky residue behind. Great for dry or aging skin, this concentrate hydrates as well as improve elasticity and firm up the skin, leaving you with a supple, radiant complexion.",4.60 stars
Water Bank Eye Gel EX (25ml),RM179,RM136,LANEIGE,"Refreshingly cool, Laneige's Water Bank Eye Gel is infused with nourishing bilberry extracts to keep your eye area hydrated while it reduces puffiness around tired eyes. It also contains calendula and ginkgo leaf extracts to soothe irritations as well as encourage blood circulation, preventing damage to the delicate eye area and reducing dark circles. This baby isn't just about instant improvement, it also retains moisture for 24 hours for supple, revitalized eyes so you look fresh all day.",4.65 stars
Natural Pure Cotton (100 pieces),RM13,NaN,CALMIA,"Sure, we invest in great products, but what about great tools? Don't underestimate the power of a good cotton pad: they're great for evenly spreading product, clarifying and gently exfoliating the skin. We like to keep a box of Rire's Natural Pure Cotton pads on hand! These quality comfy pads are made with 100% pure, soft cotton that's gentle on the skin, and the embossed texture also means it won't be fraying after a swipe or two for a clean and convenient use.",4.75 stars
Essential Balancing Emulsion Light (120ml),RM154,RM120,LANEIGE,"Great for those with oily/combination skin, Laneige's Essential Balancing Emulsion Light is perfect for those looking for a lightweight emulsion that balances out the skin's oil-to-water levels while hydrating the skin. This product is formulated with a range of ingredients like Bio-Dusali, hyacinth extract, Niacinamide and ginger extract which work together to bring you bright, healthy skin. Best of all, this absorbs quickly into the skin without leaving stickiness behind for a fresh, supple complexion.",4.75 stars
Green Tea Sleeping Mask (80ml),RM60,NaN,INNISFREE,"Just like a pick-me-up cuppa in the middle of the day, Innisfree's Green Tea Sleeping Mask is a refreshing and antioxidant-packed overnight mask for your skin! It contains fresh organic green tea extracts hailing from Jeju Island and is sold no more than 3 months from its manufactured date to ensure that your skin is smooth and served only the freshest ingredients. Wake up to soft, supple skin as this mask works while you sleep to hydrate it without leaving behind any sticky residue on your pillow!",4.73 stars
Ceramide Light Cream (50ml),RM98,NaN,MAMONDE,Fresh moisturizing Hibiscus Syriacus cream that achieves moist and strong skin by reinforcing weakened skin barrier.,4.79 stars
Ice Jeju Aloe Refreshing Soothing Gel (300ml),RM23,NaN,THE FACE SHOP,NaN,4.63 stars
AHA BHA PHA 30 Days Miracle Cream (60g),RM87,NaN,SOME BY MI,"Do you believe in miracles? You might after trying out this cream from Some By Mi! Made with 4 different Centella components (asiatic acid, madecasic acid, asiaticoside and madecasoside), this non-greasy moisture absorbs quickly into the skin to soothe redness and treat troubled spots. You’ll be left with clear, healthy skin that’s supple to the touch!",4.54 stars
Oatmeal Therapy Cleansing Foam (150ml),RM20,NaN,CALMIA,"Oatmeal runs double duty as both a breakfast and a skincare staple. Known as one of the top 10 healthy foods, oatmeal has fibre and amino acids to keep both your skin and body in tip top shape. This cleanser has mild exfoliation properties suitable for everyday use that keep your skin free from dirt, impurities and dead skin cells. Just squeeze out and lather up into a rich foam to make the most out of your favorite breakfast food!",4.50 stars
Galactomyces Pure Vitamin C Glow Serum (30ml),RM81,NaN,SOME BY MI,"Two is better than one with Some By Mi's Galactomyces Pure Vitamin C Glow Toner! This nourishing toner contains galactomyces ferment to firm up and reduce fine lines, as well as vitamin C to brighten dullness and dark spots. It also has a moisturizing mix of plant based ingredients that adds a radiant glow to the complexion, leaving it bright and bouncy to the touch!",4.72 stars
Water Bank Moisture Essence (70ml),RM199,RM151,LANEIGE,"Achieve long-lasting suppleness with LANEIGE Water Bank Moisture Essence which helps to increase the moisture level of the skin! Thanks to the green mineral water extracted from vegetables, your skin will appear clear and moisturized upon application. Add this product to your skincare routine to achieve the glass skin effect!",4.89 stars
Super Volcanic Peel Off Mask 2X (100ml),RM42,NaN,INNISFREE,NaN,4.43 stars
Petal Velvet Sunaway Multipack (55ml * 3),RM165,RM70.20,ALTHEA,"Shield your skin from the sun's rays and give it some petal protection with Althea's Petal Velvet Sunaway! Ultra lightweight, this invisible sunscreen is formulated with Hyaluronic Acid that plumps the skin and Damask rose extracts, ensuring that your complexion stays fresh and hydrated throughout the day without any streakiness or a white cast. It has an SPF of 50+ and PA++++, so your skin'll be kept protected all day. As part of the Petal Velvet line, it also contains micro-powder particles that give you a smooth, petal-like complexion.",4.78 stars
Starting Treatment Eye Cream (30g),RM39,NaN,SECRET KEY,NaN,4.69 stars
Aloe Revital Sleeping Pack (100ml),RM50,NaN,INNISFREE,"The wonders of aloe vera is aplenty. It is not only an ingredient to soothe irritated skin, but also one that supplies a good dose of nutrients to the skin and give it a good moisture boost. The Aloe Revital Sleeping Pack is infused with 74% organic aloe vera sourced from Jeju Island, to provide nutrients to your skin, so you wake up with smooth and moisturized skin! Its star ingredient - aloe vera - also forms a protective barrier against external elements that may harm your skin. Those with sensitive skin will be relieved to know that the sleeping pack contains no synthetic coloring, mineral oil, artificial flavors, animal products or imidazolidinyl urea.",4.75 stars
Apple Seed Cleansing Tissue (15ea),RM8,NaN,INNISFREE,"An apple a day makes clear skin here to stay! These gentle cleansing wipes are made with apple extract and apple seed oil to gently cleanse away dirt and impurities while keeping the skin moisturized and healthy. It helps to gently exfoliate and remove dead skin cells too, making this especially great for those with a hectic lifestyle or those extra lazy days. We love the crispy fresh scent this comes with too!",4.80 stars
Calming Serum : Green tea + Panthenol (30ml),RM67,RM49,BEAUTY OF JOSEON,NaN,4.74 stars
Aloe Vera 98.5% Soothing Mist (150ml),RM16,NaN,EUNYUL,NaN,4.62 stars
V fit Mask (1 Sheet),RM6,NaN,GET IT BEAUTY,NaN,4.53 stars
Fresh Herb Origin Serum (50ml),RM113,RM71,NACIFIC,NaN,4.46 stars
Sebum-removing Cotton Swab,RM9,NaN,THE SAEM,"Keep those fingers away: there's a new tool in town to remove blackheads and sebum! These innovative swabs from The Saem come with a cotton bud tip on one end, and a sebum remover with a hole on the other. Just gently press onto your nose using the remover, then wipe away whatever gunk that comes out with the other end. You'll be left with smooth, clean skin in a flash!",4.47 stars
Black Sugar Honey Mask Wash Off (100g),RM33,NaN,SKINFOOD,NaN,4.71 stars
Power 10 Formula VB Effector (30ml),RM38,NaN,IT'S SKIN,"Just like an espresso shot in the morning, It's Skin's Power 10 Formulas gives your skin a little boost according to your skin's needs. This VB Effector is enriched with vitamin B6 to brighten dull complexion. This concentrate is infused with arborvitae and schisandra Chinensis extracts, making it loaded with anti-aging and hydrating properties for the skin. Made with an oil-free formulation, this lightweight product balances out the skin's moisture levels by controlling oil and sebum production, and is easily absorbed into the skin without leaving behind any sticky residue.",4.63 stars
Cica Sleeping Mask (60ml),RM118,NaN,LANEIGE,NaN,4.91 stars
Power 10 Formula Q10 Effector (30ml),RM38,NaN,IT'S SKIN,"Just like drops for your eyes, It's Skin's Power 10 Formulas are little drops that improve and target problems according to your skin's needs. This Q10 Effector is enriched with Coenzyme-Q10 that's found naturally in the skin to restore vitality and resilience to the skin. This lightweight, fast-absorbing concentrate applies on without leaving behind any sticky residue while instantly hydrating the skin. With anti-aging properties, this product promotes regeneration of skin cells so that you have a supple, radiant complexion.",4.58 stars
Coco-Me-Up Lifting Coconut Mask (10 Sheets),RM30,RM27,A'BLOOM,"Take a fresh, juicy bite out of beauty with A'bloom's Mask! The Coco-Me-Up version is rich in firming and lifting properties to give you a smooth, plump complexion. Infused with coconut and tremella mushroom extracts, this mask is soaked in an essence full of collagen and vitamin E to firm, smoothen and lift sagginess, leaving you with a youthful glow!",4.88 stars
Centella Green Level Buffet Serum (60ml),RM70,NaN,PURITO,NaN,4.65 stars
Propolis Barrier Ampoule (100ml),RM190,RM71,MAXCLINIC,NaN,4.85 stars
Soothing Sisters Set,RM164,RM72.90,ALTHEA,"Serenity, calmness and peace for the skin comes in Althea's Soothing Sisters trio. Clarify the complexion with the Real Fresh Skin Detoxer in Green Tea that's infused with real tea leaves to cleanse, nourish and gently exfoliate the skin. Follow up with the Waterful Green Bamboo Pads, gentle Tencel sheets soaked in a hydrating formula that helps calm irritations to tone and prep the skin. Finally, seal in the moisture with the Skin Relief Calming Cream, a repairing cream made with panthenol that banishes redness and strengthens the barrier of the skin. Join the soothing sisterhood today!",4.76 stars
Fermented Rice Brightening Essence (150ml),RM62,RM53,MEALADE,"Infuse the crystal glow in your skin! This lightweight, quick absorbing essence made of 95% of fermented rice - harvested in Yeoju, South Korea - helps brighten dull skin and bring suppleness back to the skin without leaving oily or sticky. It also contains Galactomyces ferment filtrate to help brighten skin, even skin complexion, and improve skin texture. As the benefits of fermentation, this essence helps skin absorb the product better, reduce the chances of skin irritation, and create new skin-benefitting substances.",4.90 stars
Green Tea Foam Cleanser 7Days (10ml),RM7,NaN,INNISFREE,NaN,4.81 stars
Berry-Me-Baby Anti-aging Blueberry Mask (1 Sheet),RM3,NaN,A'BLOOM,"Take a fresh, juicy bite out of beauty with A'bloom's Mask! The Berry-Me-Baby version is rich in anti-aging properties to give you a bright, youthful complexion. Infused with blueberry and pomegranate extracts, this mask is soaked in an essence full of antioxidants to help repair, even out and add a radiant glow, leaving your face feeling plump, luminous and happy!",5.00 stars
Rice Water Bright Rice Bran Cleansing Foam (150ml),RM35,NaN,THE FACE SHOP,"You don't need to be gluten-free to embrace rice into your life! Try out The Face Shop's Rice Water Bright Cleansing Foam and you'll be hooked! This product is infused with rice water and Moringa flower oil, which moisturizes, detoxifies and brightens the complexion. Due to its lush creamy texture, this cleansing foam actually helps to keep the skin hydrated by minimizing the moisture lost from cleansing.",4.25 stars
AHA BHA PHA 30 Days Miracle Serum (50ml),RM90,NaN,SOME BY MI,NaN,4.37 stars
Moistfull Collagen Emulsion (180ml),RM61,NaN,ETUDE HOUSE,"Etude House's Moistfull Collagen Emulsion is like a tall glass of water for your skin, but better! Infused with 14% super collagen and 6% baobab water, this emulsion is made with an ""aqua stream complex"" comprising of small particles that penetrate deep into the layers of the skin, hydrating and plumping up the skin from within and keeping it moisturized for a longer amount of time. We love how it leaves the skin feeling bouncy and moisturized sans any sticky residue, giving us a soft and supple complexion.",4.70 stars
Green Tea Balancing Skin EX 7Days (10ml),RM6,NaN,INNISFREE,NaN,4.81 stars
Supple Preparation Facial Toner Travel Size (30ml),RM20,NaN,"DEAR, KLAIRS",NaN,4.56 stars
[Free Local Delivery] Fruit Masks Jumbo Pack (40 Sheets),RM120,RM96,A'BLOOM,"Take a fresh, juicy bite out of beauty with A'bloom masks! Get the best of all worlds with this variety pack that features all four variants of A'bloom masks for an overall, well-rounded complexion.
10 x Water-Me-Long + 10 x Avo-Cuddle-Me + 10 x Ac-Me-Peach + 10 x Sparkle-Me-Bright
NOTE: Delivered locally within West Malaysia only and eligible for free shipping. If purchased with other items, will ship separately. Other items must meet the total minimum purchase amount of RM99 in order for the entire order to qualify for free shipping.",4.50 stars
Petal Velvet Sunaway Multipack (55ml * 3),RM165,RM70.20,ALTHEA,"Shield your skin from the sun's rays and give it some petal protection with Althea's Petal Velvet Sunaway! Ultra lightweight, this invisible sunscreen is formulated with Hyaluronic Acid that plumps the skin and Damask rose extracts, ensuring that your complexion stays fresh and hydrated throughout the day without any streakiness or a white cast. It has an SPF of 50+ and PA++++, so your skin'll be kept protected all day. As part of the Petal Velvet line, it also contains micro-powder particles that give you a smooth, petal-like complexion.",4.78 stars
Starting Treatment Eye Cream (30g),RM39,NaN,SECRET KEY,NaN,4.69 stars
Galactomyces Pure Vitamin C Glow Serum (30ml),RM81,NaN,SOME BY MI,"Two is better than one with Some By Mi's Galactomyces Pure Vitamin C Glow Toner! This nourishing toner contains galactomyces ferment to firm up and reduce fine lines, as well as vitamin C to brighten dullness and dark spots. It also has a moisturizing mix of plant based ingredients that adds a radiant glow to the complexion, leaving it bright and bouncy to the touch!",4.72 stars
AHA BHA PHA 30 Days Miracle Cream (60g),RM87,NaN,SOME BY MI,"Do you believe in miracles? You might after trying out this cream from Some By Mi! Made with 4 different Centella components (asiatic acid, madecasic acid, asiaticoside and madecasoside), this non-greasy moisture absorbs quickly into the skin to soothe redness and treat troubled spots. You’ll be left with clear, healthy skin that’s supple to the touch!",4.54 stars
Super Volcanic Peel Off Mask 2X (100ml),RM42,NaN,INNISFREE,NaN,4.43 stars
Water Bank Moisture Essence (70ml),RM199,RM151,LANEIGE,"Achieve long-lasting suppleness with LANEIGE Water Bank Moisture Essence which helps to increase the moisture level of the skin! Thanks to the green mineral water extracted from vegetables, your skin will appear clear and moisturized upon application. Add this product to your skincare routine to achieve the glass skin effect!",4.89 stars
Oatmeal Therapy Cleansing Foam (150ml),RM20,NaN,CALMIA,"Oatmeal runs double duty as both a breakfast and a skincare staple. Known as one of the top 10 healthy foods, oatmeal has fibre and amino acids to keep both your skin and body in tip top shape. This cleanser has mild exfoliation properties suitable for everyday use that keep your skin free from dirt, impurities and dead skin cells. Just squeeze out and lather up into a rich foam to make the most out of your favorite breakfast food!",4.50 stars
Ice Jeju Aloe Refreshing Soothing Gel (300ml),RM23,NaN,THE FACE SHOP,NaN,4.63 stars
Essence Toner (100ml),RM46,NaN,PYUNKANG YUL,NaN,4.65 stars
Midnight Blue Youth Activating Drop (20ml),RM122,NaN,"DEAR, KLAIRS",NaN,4.73 stars
Rice Water Bright Rich Cleansing Oil (150ml),RM41,NaN,THE FACE SHOP,NaN,4.63 stars
Green Tea Seed Essence In Lotion (100ml),RM78,NaN,INNISFREE,NaN,4.73 stars
Aura Water Peeling,RM243,RM179,FACE FACTORY,"Professional results in the comfort of your own home? Sign us up! The Aura Water Peeling device is a 3-in-1 skin tool that exfoliates, improves absorption and helps firm up the skin using Galvanic technology and the power of ultrasonic wave vibrations. It leaves the skin feeling clean, fresh, plump and looking bright too. No wonder it’s loved by many and has become Korea’s current hottest trend!",4.49 stars
Jeju Volcanic Nose Pack (6 Sheets),RM12,NaN,INNISFREE,NaN,4.16 stars
Real Fresh Foam Green Tea (160g),RM75,RM54,NEOGEN,NaN,4.69 stars
Starting Treatment Essence Rose Edition (150ml),RM98,NaN,SECRET KEY,NaN,4.91 stars
Derma Soothing Mineral O2 Cream (100ml),RM79,NaN,NIGHTINGALE,"Breathe new life into your skincare routine with Nightingale's Derma Soothing Mineral O2 Cream. This unique product has a gel-cream texture that melts onto the skin, instantly cooling and soothing irritated skin. A combination of hyaluronic acid, yarrow, and Rose of Jericho extracts keep the complexion moisturized, while O2 bubbles from Jeju's volcanic bedrock water adds radiance and brightness. This product even has anti-aging properties to prevent those dreaded wrinkles too!",4.87 stars
Rice Water Bright Light Cleansing Oil (150ml),RM38,NaN,THE FACE SHOP,NaN,4.77 stars
Eye Sleeping Mask (25ml),RM121,NaN,LANEIGE,"Pamper one of the most delicate areas of the face with this sleeping mask made specifically for the eye area. It helps to brighten those panda eyes, and caffeine helps to depuff them too, so you can wake up looking as fresh as you feel. This lightweight mask also comes with a specially made ceramic ball to really massage in the product, improving circulation and reducing swelling so you'll look bright and perky all day.",4.59 stars
Green Piggy Collagen Jella Pack (100g),RM28,NaN,ELIZAVECCA,"Here's another one to add to your beauty books: pig collagen! Elizavecca's Green Piggy Collagen Jella Pack contains 50,000mg of the good stuff to moisturize and improve the elasticity of the skin. This pudding-like mask doesn't leave the skin feeling oily and helps reduce the appearance of pores and wrinkles. The skin is left feeling plump, fresh and bouncy to the touch!

This product contains NON-HALAL ingredient: PIG COLLAGEN.",4.65 stars
Goblin Blackhead 3 Step Nose Pack (1ea),RM4,NaN,A'PIEU,"Let the goblins work their magic on your blackheads with this 3-step nose pack! This kit is formulated with BHA, blackjack and witch hazel extracts to open up the pores, pull out those blackheads, then minimizing them for a smooth, clean nose area. Say goodbye to oily, unsightly noses because you'll be left with skin that's fresh, smooth and happy!",4.86 stars
Brightening Pore Facial Cleanser (150ml),RM51,RM42,INNISFREE,NaN,4.92 stars
Soothing & Moisture Aloe Vera Cleansing Gel Foam (150ml),RM20,RM15,NATURE REPUBLIC,NaN,5.00 stars
R:NA Proatin Mask (1 sheet),RM5,NaN,MEDIHEAL,"Brighter, younger, more moisturized, is there anything Mediheal's R:NA Proatin Masks can't do? This handy little packet contains a sheet mask soaked in a creamy serum made with niacin and glutathione, a combination that inhibits melanin production, effectively brightening dark spots and giving you a more radiant complexion. It's also rich in vitamins and antioxidants to keep your skin supple and healthy.",4.89 stars
Real Calendula Floral Toner (180ml),RM59,NaN,NACIFIC,"Make springtime an all year round affair with NACIFIC Real Calendula Floral Toner! This pretty bottle contains a formula made with Centella Asiatica extracts and infused with real calendula flower petals. Made with 91% real calendula flower water, this removes dirt, impurities and leftover residue while soothing irritations and hydrating the skin. The result is clean, fresh skin that's soft and supple to the touch, ready to take on the rest of your skincare regime.",4.81 stars
Yogurt Peeling (100ml),RM40,NaN,ONSAEMEEIN,"Yogurt isn't just a breakfast food, it's fantastic to exfoliate the skin too. Whisking away dead cells helps to renew skin cell turnover, evening out the skin's natural texture and minimizes enlarged pores. Picking a gentle enzyme-based one like Onsaemeein's Yogurt Peeling helps to gently peel away flaky skin without the irritations abrasive scrubs can sometimes have. This product also helps to keep the skin hydrated, so you'll be left with smooth, supple skin, perfect for any time of the day.",4.52 stars
Green Tangerine Vita C Dark Spot Serum (30ml),RM70,NaN,GOODAL,NaN,4.92 stars
No-Sebum Toner (200ml),RM53,NaN,INNISFREE,"Feeling like an oil-slick by midday? Give your skincare regime a fresh boost with Innisfree's No Sebum range! The toner whisks away impurities, dirt and leftover residue with a pH-balancing formula for skin that's clean and healthy. It also contains salicylic acid and mint extracts to refresh and heal troubled spots, so you can feel great and look it too!",4.69 stars
Dynasty Cream (60g),RM73,NaN,BEAUTY OF JOSEON,NaN,4.61 stars
Baking Powder Pore Cleansing Foam (160ml),RM31,NaN,ETUDE HOUSE,"Baking powder isn't just great for making delicious cakes and cookies, it's fantastic for cleansing your skin too! This cleansing foam from Etude House features baking powder as its star ingredient, gently but effectively drawing out impurities from the pores thanks to its strong cleansing properties. This formula also gently exfoliates away dead skin cells without drying your complexion out, leaving you with fresh, supple skin.",4.74 stars
Gold CF-Nest White Bomb Eye Cream (30ml),RM41,NaN,ELIZAVECCA,"Say bye-bye to tired eyes with Elizavecca's Gold CF-Nest White Bomb Eye Cream! Full of nutrients, this cream is made to moisturize, brighten and improve the elasticity of the skin. While it's made to be used around the eyes, you can apply it to other areas that need help too like the forehead or where your smile lines are. Keep this in your beauty arsenal to up your skincare game!",3.92 stars
Clear Spot Patch (18ea),RM13,NaN,NACIFIC,NaN,4.85 stars
Petal Velvet Sunaway Multipack (55ml * 3),RM165,RM70.20,ALTHEA,"Shield your skin from the sun's rays and give it some petal protection with Althea's Petal Velvet Sunaway! Ultra lightweight, this invisible sunscreen is formulated with Hyaluronic Acid that plumps the skin and Damask rose extracts, ensuring that your complexion stays fresh and hydrated throughout the day without any streakiness or a white cast. It has an SPF of 50+ and PA++++, so your skin'll be kept protected all day. As part of the Petal Velvet line, it also contains micro-powder particles that give you a smooth, petal-like complexion.",4.78 stars
Starting Treatment Eye Cream (30g),RM39,NaN,SECRET KEY,NaN,4.69 stars
Galactomyces Pure Vitamin C Glow Serum (30ml),RM81,NaN,SOME BY MI,"Two is better than one with Some By Mi's Galactomyces Pure Vitamin C Glow Toner! This nourishing toner contains galactomyces ferment to firm up and reduce fine lines, as well as vitamin C to brighten dullness and dark spots. It also has a moisturizing mix of plant based ingredients that adds a radiant glow to the complexion, leaving it bright and bouncy to the touch!",4.72 stars
AHA BHA PHA 30 Days Miracle Cream (60g),RM87,NaN,SOME BY MI,"Do you believe in miracles? You might after trying out this cream from Some By Mi! Made with 4 different Centella components (asiatic acid, madecasic acid, asiaticoside and madecasoside), this non-greasy moisture absorbs quickly into the skin to soothe redness and treat troubled spots. You’ll be left with clear, healthy skin that’s supple to the touch!",4.54 stars
Super Volcanic Peel Off Mask 2X (100ml),RM42,NaN,INNISFREE,NaN,4.43 stars
Water Bank Moisture Essence (70ml),RM199,RM151,LANEIGE,"Achieve long-lasting suppleness with LANEIGE Water Bank Moisture Essence which helps to increase the moisture level of the skin! Thanks to the green mineral water extracted from vegetables, your skin will appear clear and moisturized upon application. Add this product to your skincare routine to achieve the glass skin effect!",4.89 stars
Oatmeal Therapy Cleansing Foam (150ml),RM20,NaN,CALMIA,"Oatmeal runs double duty as both a breakfast and a skincare staple. Known as one of the top 10 healthy foods, oatmeal has fibre and amino acids to keep both your skin and body in tip top shape. This cleanser has mild exfoliation properties suitable for everyday use that keep your skin free from dirt, impurities and dead skin cells. Just squeeze out and lather up into a rich foam to make the most out of your favorite breakfast food!",4.50 stars
Ice Jeju Aloe Refreshing Soothing Gel (300ml),RM23,NaN,THE FACE SHOP,NaN,4.63 stars
Supple Preparation Unscented Facial Toner (180ml),RM76,NaN,"DEAR, KLAIRS",NaN,4.67 stars
Ruby & Bulgarian Rose Eye Patch (60 Patches),RM49,NaN,KOELF,"Keep those puffy panda eyes in check with these pretty pink patches! koelf's Ruby and Bulgarian Rose Eye Patches are infused with Bulgarian rose extract and ruby powder to brighten skin and improve elasticity while hydrating and soothing it. Made with a hydrogel technology that can hold 90% of water, these little wonders hydrate the delicate undereye and allow for the nutrients to penetrate the skin effectively. Made with non-irritants, these eye patches are suitable for all skin types, including those who have sensitive skin too.",4.50 stars
Soothe 85% Bamboo Toner (160ml),RM47,NaN,KEEP COOL,NaN,4.92 stars
